Node,Normalized
0,0.27438161231228775
1,0.06272435053687958
2,0.8794404406978257
3,0.5537778774994527
4,0.5012674589841599
5,0.6737996233998065
6,0.5355559812991771
7,0.6891039191661703
8,0.3532265714914301
9,0.8210356714567204
10,0.09807439296069752
11,0.27438161231228775
12,0.06272435053687958
13,0.22023924422089666
14,0.8977497276559941
15,0.4190501748167828
16,0.7330038266585126
17,0.34493561421485375
18,0.6275381886837375
19,0.3220415497632274
20,0.9417368791153033
21,0.0885066632787421
22,0.10669549851316935
23,0.09448375372488707
24,0.765129996867839
25,0.6123341026235725
26,0.9453166151456209
27,0.7939482055593696
28,0.7461217234794453
29,0.9496310926283758
30,0.682479068379443
31,0.915009635455168
32,0.10669549851316935
33,0.09448375372488707
34,0.2356183450012424
35,0.8947742355797643
36,0.04966993947023371
37,0.976231269220975
38,0.5417809525533942
39,0.12016711371018667
40,0.682479068379443
41,0.915009635455168
